,date,ticker,value
0,1994-02-03,CPIAUCSL,146.7
1,1994-03-21,CPIAUCSL,147.1
2,1994-05-16,CPIAUCSL,147.5
3,1994-07-05,CPIAUCSL,148.4
4,1994-08-15,CPIAUCSL,149.0
5,1994-09-26,CPIAUCSL,149.3
6,1994-11-14,CPIAUCSL,149.8
7,1994-12-19,CPIAUCSL,150.1
8,1995-01-31,CPIAUCSL,150.5
9,1995-03-27,CPIAUCSL,151.2
10,1995-05-22,CPIAUCSL,152.1
11,1995-07-05,CPIAUCSL,152.6
12,1995-08-21,CPIAUCSL,152.9
13,1995-09-25,CPIAUCSL,153.1
14,1995-11-14,CPIAUCSL,153.7
15,1995-12-18,CPIAUCSL,153.9
16,1996-01-29,CPIAUCSL,154.7
17,1996-03-25,CPIAUCSL,155.5
18,1996-05-20,CPIAUCSL,156.4
19,1996-07-01,CPIAUCSL,157.0
20,1996-08-19,CPIAUCSL,157.2
21,1996-09-23,CPIAUCSL,157.7
22,1996-11-12,CPIAUCSL,158.7
23,1996-12-16,CPIAUCSL,159.1
24,1997-02-04,CPIAUCSL,159.7
25,1997-03-24,CPIAUCSL,159.8
26,1997-05-19,CPIAUCSL,159.9
27,1997-07-01,CPIAUCSL,160.4
28,1997-08-18,CPIAUCSL,160.8
29,1997-09-29,CPIAUCSL,161.2
30,1997-11-11,CPIAUCSL,161.7
31,1997-12-15,CPIAUCSL,161.8
32,1998-02-03,CPIAUCSL,162.0
33,1998-03-30,CPIAUCSL,162.0
34,1998-05-18,CPIAUCSL,162.6
35,1998-06-30,CPIAUCSL,162.8
36,1998-08-17,CPIAUCSL,163.4
37,1998-09-28,CPIAUCSL,163.5
38,1998-11-16,CPIAUCSL,164.1
39,1998-12-21,CPIAUCSL,164.4
40,1999-02-02,CPIAUCSL,164.7
41,1999-03-29,CPIAUCSL,164.8
42,1999-05-17,CPIAUCSL,166.0
43,1999-06-29,CPIAUCSL,166.0
44,1999-08-23,CPIAUCSL,167.1
45,1999-10-04,CPIAUCSL,168.1
46,1999-11-15,CPIAUCSL,168.4
47,1999-12-20,CPIAUCSL,168.8
48,2000-02-01,CPIAUCSL,170.0
49,2000-03-20,CPIAUCSL,171.0
50,2000-05-15,CPIAUCSL,171.2
51,2000-06-27,CPIAUCSL,172.2
52,2000-08-21,CPIAUCSL,172.7
53,2000-10-02,CPIAUCSL,173.9
54,2000-11-14,CPIAUCSL,174.2
55,2000-12-18,CPIAUCSL,174.6
56,2001-01-30,CPIAUCSL,175.6
57,2001-03-19,CPIAUCSL,176.1
58,2001-05-14,CPIAUCSL,177.3
59,2001-06-26,CPIAUCSL,177.7
60,2001-08-20,CPIAUCSL,177.4
61,2001-10-01,CPIAUCSL,177.6
62,2001-11-05,CPIAUCSL,177.5
63,2001-12-10,CPIAUCSL,177.4
64,2002-01-29,CPIAUCSL,177.7
65,2002-03-18,CPIAUCSL,178.5
66,2002-05-06,CPIAUCSL,179.5
67,2002-06-25,CPIAUCSL,179.6
68,2002-08-12,CPIAUCSL,180.5
69,2002-09-23,CPIAUCSL,180.8
70,2002-11-05,CPIAUCSL,181.5
71,2002-12-09,CPIAUCSL,181.8
72,2003-01-28,CPIAUCSL,182.6
73,2003-03-17,CPIAUCSL,183.9
74,2003-05-05,CPIAUCSL,182.9
75,2003-06-24,CPIAUCSL,183.1
76,2003-08-11,CPIAUCSL,184.5
77,2003-09-14,CPIAUCSL,185.1
78,2003-09-15,CPIAUCSL,185.1
79,2003-10-27,CPIAUCSL,184.9
80,2003-12-08,CPIAUCSL,185.5
81,2004-01-27,CPIAUCSL,186.3
82,2004-03-15,CPIAUCSL,187.1
83,2004-05-03,CPIAUCSL,188.2
84,2004-06-29,CPIAUCSL,188.9
85,2004-08-09,CPIAUCSL,189.2
86,2004-09-20,CPIAUCSL,189.8
87,2004-11-09,CPIAUCSL,191.7
88,2004-12-13,CPIAUCSL,191.7
89,2005-02-01,CPIAUCSL,192.4
90,2005-03-21,CPIAUCSL,193.1
91,2005-05-02,CPIAUCSL,193.6
92,2005-06-29,CPIAUCSL,193.7
93,2005-08-08,CPIAUCSL,196.1
94,2005-09-19,CPIAUCSL,198.8
95,2005-10-31,CPIAUCSL,199.1
96,2005-12-12,CPIAUCSL,198.1
97,2006-01-30,CPIAUCSL,199.3
98,2006-03-27,CPIAUCSL,199.7
99,2006-05-09,CPIAUCSL,201.3
100,2006-06-28,CPIAUCSL,201.8
101,2006-08-07,CPIAUCSL,203.8
102,2006-09-19,CPIAUCSL,202.8
103,2006-10-24,CPIAUCSL,201.9
104,2006-12-11,CPIAUCSL,203.1
105,2007-01-30,CPIAUCSL,203.437
106,2007-03-20,CPIAUCSL,205.288
107,2007-05-08,CPIAUCSL,206.755
108,2007-06-27,CPIAUCSL,207.234
109,2007-08-06,CPIAUCSL,207.667
110,2007-09-17,CPIAUCSL,208.547
111,2007-10-30,CPIAUCSL,209.19
112,2007-12-10,CPIAUCSL,211.445
113,2008-01-29,CPIAUCSL,212.174
114,2008-03-17,CPIAUCSL,213.448
115,2008-04-29,CPIAUCSL,213.942
116,2008-06-24,CPIAUCSL,217.463
117,2008-08-04,CPIAUCSL,218.69
118,2008-09-15,CPIAUCSL,218.877
119,2008-10-28,CPIAUCSL,216.995
120,2008-12-15,CPIAUCSL,211.398
121,2009-01-27,CPIAUCSL,211.933
122,2009-03-17,CPIAUCSL,212.495
123,2009-04-28,CPIAUCSL,212.709
124,2009-06-23,CPIAUCSL,214.79
125,2009-08-11,CPIAUCSL,215.445
126,2009-09-22,CPIAUCSL,215.861
127,2009-11-03,CPIAUCSL,217.234
128,2009-12-15,CPIAUCSL,217.347
129,2010-01-26,CPIAUCSL,217.488
130,2010-03-15,CPIAUCSL,217.353
131,2010-04-27,CPIAUCSL,217.403
132,2010-06-22,CPIAUCSL,217.199
133,2010-08-09,CPIAUCSL,217.923
134,2010-09-20,CPIAUCSL,218.275
135,2010-11-02,CPIAUCSL,219.59
136,2010-12-13,CPIAUCSL,220.472
137,2011-01-25,CPIAUCSL,221.187
138,2011-03-14,CPIAUCSL,223.046
139,2011-04-26,CPIAUCSL,224.093
140,2011-06-21,CPIAUCSL,224.806
141,2011-08-08,CPIAUCSL,226.106
142,2011-09-20,CPIAUCSL,226.597
143,2011-11-01,CPIAUCSL,227.169
144,2011-12-12,CPIAUCSL,227.223
145,2012-01-24,CPIAUCSL,227.842
146,2012-03-12,CPIAUCSL,228.807
147,2012-04-24,CPIAUCSL,229.187
148,2012-06-19,CPIAUCSL,228.524
149,2012-09-12,CPIAUCSL,231.015
150,2012-10-23,CPIAUCSL,231.638
151,2012-12-11,CPIAUCSL,231.221
152,2013-01-29,CPIAUCSL,231.679
153,2013-03-19,CPIAUCSL,232.282
154,2013-04-30,CPIAUCSL,231.797
155,2013-06-18,CPIAUCSL,232.445
156,2013-07-30,CPIAUCSL,232.9
157,2013-09-17,CPIAUCSL,233.544
158,2013-10-29,CPIAUCSL,233.669
159,2013-12-17,CPIAUCSL,234.719
160,2014-01-28,CPIAUCSL,235.288
161,2014-03-18,CPIAUCSL,236.028
162,2014-04-29,CPIAUCSL,236.468
163,2014-06-17,CPIAUCSL,237.231
164,2014-07-29,CPIAUCSL,237.498
165,2014-09-16,CPIAUCSL,237.477
166,2014-10-28,CPIAUCSL,237.43
167,2014-12-16,CPIAUCSL,236.252
168,2015-01-27,CPIAUCSL,234.747
169,2015-03-17,CPIAUCSL,235.976
170,2015-04-28,CPIAUCSL,236.222
171,2015-06-16,CPIAUCSL,237.657
172,2015-07-28,CPIAUCSL,238.034
173,2015-09-16,CPIAUCSL,237.498
174,2015-10-27,CPIAUCSL,237.733
175,2015-12-15,CPIAUCSL,237.761
176,2016-01-26,CPIAUCSL,237.652
177,2016-03-15,CPIAUCSL,238.08
178,2016-04-26,CPIAUCSL,238.992
179,2016-06-14,CPIAUCSL,240.222
180,2016-07-26,CPIAUCSL,240.101
181,2016-09-20,CPIAUCSL,241.176
182,2016-11-01,CPIAUCSL,242.026
183,2016-12-13,CPIAUCSL,242.637
184,2017-01-31,CPIAUCSL,243.618
185,2017-03-14,CPIAUCSL,243.892
186,2017-05-02,CPIAUCSL,244.004
187,2017-06-13,CPIAUCSL,244.163
188,2017-07-25,CPIAUCSL,244.243
189,2017-09-19,CPIAUCSL,246.435
190,2017-10-31,CPIAUCSL,246.626
191,2017-12-12,CPIAUCSL,247.805
192,2018-01-30,CPIAUCSL,248.859
193,2018-03-20,CPIAUCSL,249.577
194,2018-05-01,CPIAUCSL,250.792
195,2018-06-12,CPIAUCSL,251.018
196,2018-07-31,CPIAUCSL,251.214
197,2018-09-25,CPIAUCSL,252.182
198,2018-11-07,CPIAUCSL,252.594
199,2018-12-18,CPIAUCSL,252.767
200,2019-01-29,CPIAUCSL,252.718
201,2019-03-19,CPIAUCSL,254.202
202,2019-04-30,CPIAUCSL,255.211
203,2019-06-18,CPIAUCSL,255.159
204,2019-07-30,CPIAUCSL,255.685
205,2019-09-17,CPIAUCSL,256.511
206,2019-10-10,CPIAUCSL,257.244
207,2019-10-29,CPIAUCSL,257.244
208,2019-12-10,CPIAUCSL,258.616
209,2020-01-28,CPIAUCSL,259.037
210,2020-03-02,CPIAUCSL,258.124
211,2020-03-14,CPIAUCSL,258.124
212,2020-03-22,CPIAUCSL,258.124
213,2020-03-30,CPIAUCSL,258.124
214,2020-04-28,CPIAUCSL,256.092
215,2020-06-09,CPIAUCSL,256.986
216,2020-07-28,CPIAUCSL,258.278
217,2020-08-26,CPIAUCSL,259.411
218,2020-09-15,CPIAUCSL,260.029
219,2020-11-04,CPIAUCSL,260.813
220,2020-12-15,CPIAUCSL,262.035
221,2021-01-26,CPIAUCSL,262.65
222,2021-03-16,CPIAUCSL,264.914
223,2021-04-27,CPIAUCSL,266.67
224,2021-06-15,CPIAUCSL,270.559
225,2021-07-27,CPIAUCSL,271.764
226,2021-09-21,CPIAUCSL,274.028
227,2021-11-02,CPIAUCSL,278.711
228,2021-12-14,CPIAUCSL,280.887
229,2022-01-25,CPIAUCSL,282.599
230,2022-03-15,CPIAUCSL,287.472
231,2022-05-03,CPIAUCSL,291.268
232,2022-06-14,CPIAUCSL,294.728
233,2022-07-26,CPIAUCSL,294.628
234,2022-09-20,CPIAUCSL,296.539
235,2022-11-01,CPIAUCSL,298.598
236,2022-12-13,CPIAUCSL,298.99
237,2023-01-31,CPIAUCSL,300.536
